document_id,clean_text,sentiment
1,gritty,neutral
2,depressing fun movie usual comic book movie,positive
3,killing important political figures,negative
4,even first heard described inspired one favourite psychological thrillers time finally going get raw gritty batman film always dreamed seeing certainly begin biggest thing struck film much time got spend batman,positive
5,take long get role like targets public officials,positive
6,darkest live action batman movie ever made,negative
7,long shots characters faces,neutral
8,sadistic killer calling riddler paul dano,negative
9,big twists film anticlimactic batman matt reeves seemed borrow bigger books year one,neutral
10,saying good movie positive hoping amazing new batman iteration,positive
11,think superhero movie,neutral
12,mystery bit meh worth three hours mostly superhero film lacking much excitement thrill riddler bit lame forgotten movie characters already,positive
13,ca call superfan still keeps entertained previous movies entertaining robert pattinson big draw,positive
14,long dragged slowly paced near 3 hours ridiculous could watch speed would enjoyable needed least 20 mins cut much faster storytelling constant whisper dialogue film became annoying really like pattinson actor,negative
15,zoe kravitz,neutral
16,realize wrong audience dialog awful sure writing delivery probably none characters interesting scenes felt awkward worst part lack fun movie dull,negative
17,action underwhelming overall big disappointment ca recommend,negative
18,zoÃ« kravitz kimi,neutral
19,rise planet apes,neutral
20,film took expectations made promptly realise,neutral
21,gothic,neutral
22,many people walked looking shoulder see anyone else laughing cringe movie actors one highlights excluding villain riddler batman penguin far coolest best actor honestly good fellas type character supporting actors also quite good however think robert pattinson horrible pick batman whole time seems like really awkward sad goth kid,positive
23,batman detective first,neutral
24,questioning best got batman hate concerned could take big role like regular features embodied titular today day witness wrong,negative
